Time,??.?.-57,??.?.-57,?.?.-57,??.?.-57,??.?.-58,??.?.-58,?.?.-58,??.?.-58,??.?.-59,??.?.-59,?.?.-59,??.?.-59,??.?.-60,??.?.-60,?.?.-60,??.?.-60,??.?.-61,??.?.-61,?.?.-61,??.?.-61
00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:15,411082.6518,509985.8194,449770.8195,356016.6935,443838.9493,407969.729,383719.9446,518418.0756,432457.06,610357.17,698702.54,583663.12,653194.38,518983.43,407745.49,785139.08,504486.29,731290.26,383621.2,482660.02
00:30,382519.1093,415539.288,391357.7758,311614.5245,456293.883,452467.3876,386615.5822,516775.0644,464698.33,611363.25,671888.14,579897.66,630142.67,471543.1,382871.37,756676.23,534002.31,749633.94,404533.42,475889.15
00:45,364554.346,482040.906,455934.8591,269161.7388,461610.7837,445402.8744,324485.7756,465825.7113,466600.83,609240.37,648856.52,555295.32,626603.14,503669.57,395516.57,753753.74,550231.71,733480,379803.87,463304.12
01:00,420945.2495,452322.1674,394210.3207,244888.8077,451907.0637,396963.6111,344077.2723,448749.4927,539892.11,584875.79,594955.17,521480.79,637065.62,758803.26,385399.64,689492.02,646203,676365.03,384604.04,457365.98
01:15,430043.0343,485489.3901,465880.5677,230344.9592,426462.8749,386545.5527,362481.8594,397480.6126,581467.97,556473.83,575320.72,560523.74,599341.71,652809.38,512512.17,694580.47,729244.42,677889.8,344306.68,526001
01:30,389947.0258,462315.2275,416377.4362,298523.152,460063.1942,322146.0742,345795.4486,332511.3487,539653.57,516098.86,589120.6,554845.24,644943.61,664275.93,446155.6,705819.66,657910.59,703041.18,375237.46,517941.5
01:45,389158.1144,478764.6042,433076.5102,245034.4115,432019.2294,377270.7359,326979.7501,391226.1869,524049.4,480807.33,588676.5,493409.63,605323.63,669178.48,364707.5,610877.78,648459.03,509828.97,364706.65,490066.64
02:00,380164.0156,439914.898,320527.7657,213294.0605,401223.6554,399352.6797,373910.461,403077.7516,547122.84,459559.16,559460.37,468096.68,462113.04,609720.61,388516.14,592947.46,683744.51,510990.43,356553.3,449502.75
02:15,324225.8019,453531.8242,404828.5753,175484.4992,374708.6888,363745.1496,319193.7938,374539.2639,568511.34,438676.11,548737.96,388554.12,414343.23,634209.55,828993.56,462511.64,745387.94,487896.59,379126.51,421091.21
02:30,314538.489,399545.4937,290824.1739,257940.6291,351120.6947,346986.3358,326636.4779,407929.0181,488005.41,428316.97,543759.87,417057.39,449212.42,582918.87,679030.15,459098.02,603784.44,493607.69,358760.22,447892.72
02:45,352277.9789,462859.1269,348850.1491,235007.554,361546.5658,375717.4494,452701.5551,398735.2609,488090.21,462768.22,535325.96,408045.34,432526.83,588384.36,655630.52,452894.51,602616.03,475753.4,384632.86,416120.78
03:00,278934.7356,396091.6245,318439.6305,190703.061,325072.3488,286395.0321,352808.1512,335466.4095,485083.23,550011.55,559091.99,391669.68,410740.57,559885.55,618351.5,435992.76,616139.3,543614.57,362213.44,392035.27
03:15,292327.9036,383143.7439,410413.5951,252621.0965,334697.752,318309.9524,388327.7795,336895.8268,467703.09,528766.19,704668.72,490686.29,503889.8,567748.87,591854.8,393164.93,602495.14,588045.85,355281.69,395698.64
03:30,274791.3996,418465.943,353727.5081,251700.7574,302633.4221,342839.511,372489.6022,394425.3063,466719.33,480926.72,665631.08,524806.58,516201.47,421809.64,647195.88,405257.23,581459.11,590347.57,337180.79,470432.11
03:45,346021.8763,445607.2294,339284.3567,224115.1661,386592.9892,366575.7258,290710.3605,364677.1598,465987.7,506756.53,669144.89,501634.66,483241.58,385200.53,663312.63,406967.2,586642.08,728298.82,349071.51,463294.24
04:00,383686.8581,428163.7946,320532.178,303001.0645,481150.7727,335666.43,350782.1476,322057.3553,462883.46,483217.32,652279.6,527346.59,502817.8,371081.15,586939.96,404923.84,586391.18,713807.79,353344.84,489989.05
04:15,346424.8678,480930.3683,329103.3216,385142.1138,357109.6083,349241.9442,332069.1589,361044.4215,451207.01,493398.38,606825.38,512474.68,507644.66,370801.56,608152.16,402277.49,579874.78,646362.62,340624.32,461404.12
04:30,277237.405,456776.0093,392627.8634,314242.2768,368823.9701,354207.6935,336624.2608,366700.5711,561726.18,472395.4,594953.09,497328.99,462079.54,414540.71,610090.9,394486.58,623041.88,658333.54,333058.9,445024.66
04:45,402187.9672,363241.5708,522840.7872,309306.6793,331419.863,372178.6804,335816.2506,392968.0657,563915.32,442490.92,581272.89,503220.96,458168.69,386368.69,570690.97,419891.55,578197.16,622194.85,356027.25,439491.15
05:00,456012.2108,376799.0203,457373.3882,290512.4519,326051.5385,382199.0064,412248.5207,421384.02,474481.59,406510.41,600807,472826.13,366796.39,506720.75,617315.99,414127.9,537111.94,664852.81,361433.63,408565.37
05:15,358135.4527,471451.7504,429261.4139,427494.4101,332082.263,410324.713,444245.2024,484277.6829,554499.13,373835.01,604166.3,477690.22,348479.26,643139.42,536087.89,424180.97,579610.86,617027.97,344093.56,416909.61
